127.0.0.1 - - [14/Mar/2024:10:25:03 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:25:04 +0530] "GET /Productprojectapp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:25:05 +0530] "GET /Productprojectapp/formvalidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:25:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:25:10 +0530] "GET /Productprojectapp/productlist.jsp HTTP/1.1" 200 2534865
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:25:14 +0530] "GET /Productprojectapp/EditProductServlet?proId=1 HTTP/1.1" 200 569961
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:25:29 +0530] "GET /Productprojectapp/EditProductServlet?proId=1 HTTP/1.1" 200 569961
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:27:29 +0530] "POST /Productprojectapp/AddProductServlet HTTP/1.1" 200 5122766
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:27:34 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:27:51 +0530] "GET /Productprojectapp/EditProductServlet?proId=123 HTTP/1.1" 200 17782
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:28:07 +0530] "POST /Productprojectapp/UpdateProductServlet HTTP/1.1" 200 5122690
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:28:12 +0530] "GET /Productprojectapp/EditProductServlet?proId=123 HTTP/1.1" 200 17782
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:28:19 +0530] "POST /Productprojectapp/UpdateProductServlet HTTP/1.1" 200 5122690
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:28:24 +0530] "POST /Productprojectapp/UpdateProductServlet HTTP/1.1" 200 5122690
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:28:34 +0530] "GET /Productprojectapp/add-product.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:28:37 +0530] "GET /Productprojectapp/productlist.jsp HTTP/1.1" 200 5122690
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:28:41 +0530] "GET /Productprojectapp/DeleteProductServlet?proId=123 HTTP/1.1" 200 2534942
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:29:43 +0530] "GET /Productprojectapp/DeleteProductServlet?proId=123 HTTP/1.1" 200 2534931
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:32:06 +0530] "GET /Productprojectapp/DeleteProductServlet?proId=123 HTTP/1.1" 200 2534931
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:32:59 +0530] "GET /Productprojectapp/EditProductServlet?proId=1 HTTP/1.1" 200 569961
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:33:03 +0530] "POST /Productprojectapp/UpdateProductServlet HTTP/1.1" 200 2534844
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:33:06 +0530] "GET /Productprojectapp/DeleteProductServlet?proId=1 HTTP/1.1" 200 1239
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:34:27 +0530] "POST /Productprojectapp/AddProductServlet HTTP/1.1" 200 2865185
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:34:32 +0530] "GET /Productprojectapp/DeleteProductServlet?proId=1 HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:35:36 +0530] "POST /Productprojectapp/AddProductServlet HTTP/1.1" 200 2865185
